"country","freedomIndexByCountry_humanFreedom2023","freedomIndexByCountry_persFreedom2023","freedomIndexByCountry_econFreedom2023"
"India",6.29,6.06,6.62
"China",5.15,4.42,6.18
"United States",8.39,8.57,8.14
"Indonesia",6.62,6.39,6.93
"Pakistan",5.49,5.13,5.98
"Nigeria",5.96,5.45,6.67
"Brazil",6.92,7.16,6.58
"Bangladesh",5.51,5.3,5.81
"Russia",5.81,5.48,6.28
"Ethiopia",5.2,5.03,5.44
"Mexico",6.55,6.22,7.02
"Japan",8.4,8.83,7.79
"Egypt",4.24,3.36,5.47
"Philippines",6.46,6.07,7.01
"DR Congo",5.48,5.59,5.33
"Vietnam",5.51,4.97,6.26
"Iran",4.03,3.67,4.53
"Turkey",5.63,5.14,6.32
"Germany",8.37,8.82,7.73
"Thailand",6.67,6.39,7.07
"United Kingdom",8.39,8.66,8.01
"Tanzania",6.16,6.08,6.27
"France",7.86,8.18,7.4
"South Africa",6.92,7.19,6.53
"Italy",7.95,8.45,7.25
"Kenya",6.57,6.38,6.82
"Myanmar",3.88,2.84,5.33
"Colombia",6.54,6.5,6.6
"South Korea",8.12,8.58,7.47
"Sudan",3.81,3.68,3.98
"Uganda",5.75,5.11,6.64
"Spain",8.03,8.38,7.52
"Algeria",4.82,4.82,4.82
"Iraq",4.73,4.19,5.49
"Argentina",6.85,8.34,4.77
"Yemen",3.43,2.89,4.18
"Canada",8.55,8.96,7.98
"Poland",7.69,8.09,7.12
"Morocco",5.48,4.8,6.42
"Angola",5.76,6.03,5.38
"Ukraine",6.72,7.12,6.17
"Malaysia",6.66,6.28,7.19
"Mozambique",6.51,6.86,6.03
"Ghana",7.19,7.75,6.41
"Peru",7.56,7.6,7.52
"Saudi Arabia",4.53,3.02,6.64
"Madagascar",6.36,6.68,5.92
"Ivory Coast",6.48,6.79,6.04
"Nepal",6.71,7.01,6.3
"Cameroon",5.3,5,5.72
"Venezuela",4.22,5.09,3.01
"Niger",6.29,6.64,5.8
"Australia",8.52,8.86,8.05
"Syria",2.96,2.29,3.9
"Mali",5.9,5.97,5.8
"Burkina Faso",6.57,6.88,6.14
"Taiwan",8.56,8.98,7.97
"Sri Lanka",6.13,6.13,6.13
"Malawi",6.83,7.52,5.87
"Zambia",6.21,6.47,5.84
"Kazakhstan",6.4,5.88,7.13
"Chad",4.99,4.77,5.31
"Chile",8.16,8.52,7.66
"Romania",7.9,8.05,7.7
"Somalia",4.49,3.65,5.66
"Senegal",6.71,7.07,6.2
"Guatemala",7.09,6.79,7.5
"Netherlands",8.57,9.14,7.76
"Ecuador",7.03,7.43,6.46
"Cambodia",6.08,5.54,6.82
"Zimbabwe",4.86,5.61,3.81
"Guinea",5.21,4.91,5.62
"Benin",6.86,7.17,6.41
"Rwanda",5.89,5.27,6.77
"Burundi",4.85,4.46,5.4
"Bolivia",6.83,7.36,6.08
"Tunisia",6.22,6.36,6.02
"Haiti",6.37,6.53,6.15
"Belgium",8.33,8.97,7.43
"Jordan",6.32,5.63,7.3
"Dominican Republic",7.56,7.74,7.3
"United Arab Emirates",5.73,4.57,7.35
"Honduras",6.72,6.55,6.97
"Czech Republic",8.38,8.78,7.81
"Sweden",8.75,9.43,7.81
"Tajikistan",5.44,4.77,6.38
"Papua New Guinea",6.88,7.48,6.05
"Portugal",8.27,8.79,7.54
"Azerbaijan",5.65,5.41,5.99
"Greece",7.49,7.89,6.94
"Hungary",7.24,7.15,7.36
"Togo",6.2,6.17,6.24
"Israel",7.43,7.32,7.57
"Austria",8.24,8.64,7.69
"Belarus",5.48,4.94,6.23
"Switzerland",9.01,9.39,8.47
"Sierra Leone",6.51,6.94,5.91
"Laos",5.34,4.7,6.24
"Hong Kong",7.7,7.1,8.55
"Libya",4.94,5.15,4.65
"Kyrgyzstan",6.64,6.48,6.88
"Paraguay",7.06,7.09,7.02
"Nicaragua",5.48,4.73,6.52
"Bulgaria",7.68,7.84,7.46
"Serbia",7.14,7.35,6.85
"El Salvador",6.85,6.67,7.11
"Republic of the Congo",5.41,5.8,4.85
"Denmark",8.83,9.35,8.1
"Singapore",7.75,7.17,8.56
"Lebanon",5.74,6.16,5.15
"Finland",8.7,9.33,7.81
"Liberia",6.39,6.79,5.82
"Norway",8.58,9.23,7.67
"Slovakia",8.04,8.44,7.49
"Central African Republic",5.34,5.58,5.01
"Oman",5.56,4.83,6.58
"Ireland",8.79,9.27,8.11
"New Zealand",8.88,9.2,8.43
"Mauritania",5.34,5.02,5.78
"Costa Rica",8.04,8.25,7.76
"Kuwait",6.25,5.98,6.63
"Panama",7.57,7.62,7.51
"Croatia",7.96,8.47,7.25
"Georgia",7.8,7.87,7.71
"Mongolia",7.43,7.71,7.04
"Uruguay",7.96,8.6,7.06
"Bosnia and Herzegovina",7.33,7.81,6.66
"Qatar",5.39,4.54,6.58
"Moldova",7.66,8.01,7.18
"Namibia",7.31,8.13,6.16
"Armenia",7.99,8.29,7.58
"Lithuania",8.39,8.71,7.95
"Jamaica",7.56,7.62,7.46
"Albania",7.67,7.72,7.6
"Gambia",6.64,6.3,7.11
"Gabon",6.5,7.28,5.41
"Botswana",7.31,7.64,6.84
"Lesotho",6.49,6.87,5.95
"Slovenia",7.9,8.38,7.23
"Latvia",8.45,8.98,7.71
"North Macedonia",7.64,8.06,7.06
"Bahrain",5.47,4.05,7.44
"Trinidad and Tobago",7.45,8.04,6.63
"Estonia",8.75,9.32,7.95
"Cyprus",8.15,8.56,7.57
"Mauritius",7.61,7.46,7.82
"Eswatini",5.07,4.89,5.33
"Djibouti",5.32,4.99,5.79
"Fiji",7.16,7.76,6.32
"Comoros",5.45,5.32,5.63
"Guyana",6.74,7.67,5.43
"Bhutan",6.69,6.74,6.62
"Luxembourg",8.71,9.29,7.91
"Montenegro",7.8,7.95,7.59
"Suriname",7.07,8.17,5.52
"Malta",8.2,8.53,7.73
"Cape Verde",8,8.45,7.38
"Brunei",5.65,4.61,7.12
"Belize",6.82,7.47,5.91
"Bahamas",7.82,8.73,6.55
"Iceland",8.73,9.31,7.93
"Barbados",7.72,8.27,6.94
"Seychelles",7.85,8.37,7.12
"Total",6.7482822085889556,6.8238036809815945,6.64233128834356